"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","141","-71.775","top","90"
"C2","144.225","-73.255","top","90"
"C3","146.725","-71.775","top","90"
"C4","149.225","-73.775","top","90"
"C5","151.5","-71.275","top","90"
"C6","155","-70.5","top","90"
"D1","143.27","-55","top","0"
"D2","121.5","-63.5","top","-90"
"D4","167","-64","top","-90"
"Q1","162.0625","-73","top","0"
"Q2","148.725","-54.5","top","0"
"Q3","121","-56.275","top","90"
"Q4","167","-53.725","top","-90"
"Q5","144.0625","-65.5","top","0"
"Q6","121.5625","-72.5","top","0"
"R1","156.325","-56","top","0"
"R2","131.825","-59","top","180"
"R3","159.5","-77.5","top","180"
"R4","139","-64.5","top","0"
"R5","140","-67.5","top","90"
"R6","136","-55.5","top","0"
"R7","119.4125","-68","top","180"
"R8","117.01","-72.5","top","90"
"R9","128.5","-69.5","top","180"
"R12","153.4125","-65","top","0"
"R13","169","-72","top","0"
"R14","157.0875","-74","top","0"
